StudentID,SubjectArea,TestName,TestAttemptCode,Score,LevelCode,MetStandard
7069330,ELA,Smarter Balanced Assessment,NB,,L0,N
6199743,ELA,Smarter Balanced Assessment,TS,2620,L3,Y
6249446,ELA,Smarter Balanced Assessment,TS,2434,L1,N
6313482,ELA,Smarter Balanced Assessment,TS,2554,L4,Y
7362183,ELA,Smarter Balanced Assessment,TS,2519,L2,N
7044901,ELA,Smarter Balanced Assessment,TS,2714,L4,Y
7028813,ELA,Smarter Balanced Assessment,NB,,L0,N
7743961,ELA,Smarter Balanced Assessment,TS,2701,L4,Y
6761413,ELA,Smarter Balanced Assessment,TS,2552,L3,Y
7385965,ELA,Smarter Balanced Assessment,TS,2568,L2,N
6940484,ELA,Smarter Balanced Assessment,TS,2474,L3,Y
7197134,ELA,Smarter Balanced Assessment,TS,2423,L1,N
7111956,ELA,Smarter Balanced Assessment,NB,,L0,N
6618789,ELA,Smarter Balanced Assessment,NB,,L0,N
3933447,ELA,Smarter Balanced Assessment,RF,,L0,N
3544411,ELA,Smarter Balanced Assessment,BL,,L0,N
6124484,ELA,Smarter Balanced Assessment,TS,2527,L2,N
3584785,ELA,Smarter Balanced Assessment,NB,,L0,N
6602406,ELA,Smarter Balanced Assessment,NB,,L0,N
7670828,ELA,Smarter Balanced Assessment,TS,2402,L1,N
7902890,ELA,Smarter Balanced Assessment,RF,,L0,N
7821335,ELA,Smarter Balanced Assessment,TS,2474,L1,N
3115742,ELA,Smarter Balanced Assessment,TS,2775,L4,Y
3623749,ELA,Smarter Balanced Assessment,TS,2474,L3,Y
7000929,ELA,Smarter Balanced Assessment,TS,2710,L4,Y
6983497,ELA,Smarter Balanced Assessment,TS,2398,L1,N
3930716,ELA,Smarter Balanced Assessment,TS,2345,L1,N
7987305,ELA,Smarter Balanced Assessment,TS,2676,L4,Y
6479482,ELA,Smarter Balanced Assessment,TS,2271,L1,N
6316700,ELA,Smarter Balanced Assessment,TS,2510,L3,Y
7724650,ELA,Smarter Balanced Assessment,NB,,L0,N
7108975,ELA,Smarter Balanced Assessment,RF,,L0,N
7108975,ELA,Smarter Balanced Assessment,NE,,--,-
7439653,ELA,Smarter Balanced Assessment,TS,2795,L4,Y
6908776,ELA,Smarter Balanced Assessment,TS,2574,L3,Y
6678701,ELA,Smarter Balanced Assessment,TS,2604,L3,Y
3623718,ELA,Smarter Balanced Assessment,TS,2332,L1,N
7929386,ELA,Smarter Balanced Assessment,TS,2376,L1,N
6836438,ELA,Smarter Balanced Assessment,TS,2529,L4,Y
7015129,ELA,Smarter Balanced Assessment,TS,2554,L2,N
7305324,ELA,Smarter Balanced Assessment,TS,2362,L1,N
7952987,ELA,Smarter Balanced Assessment,NB,,L0,N
3144745,ELA,Smarter Balanced Assessment,TS,2426,L2,N
6421484,ELA,Smarter Balanced Assessment,TS,2303,L1,N
7312815,ELA,Smarter Balanced Assessment,TS,2562,L3,Y
7487957,ELA,Smarter Balanced Assessment,NB,,L0,N
6842787,ELA,Smarter Balanced Assessment,NB,,L0,N
7065366,ELA,Smarter Balanced Assessment,TS,2623,L3,Y
3257447,ELA,Smarter Balanced Assessment,TS,2631,L3,Y
6926517,ELA,Smarter Balanced Assessment,TS,2373,L1,N
6494482,ELA,Smarter Balanced Assessment,TS,2308,L1,N
6170421,ELA,Smarter Balanced Assessment,TS,2593,L4,Y
3666412,ELA,Smarter Balanced Assessment,TS,2364,L1,N
3633714,ELA,Smarter Balanced Assessment,TS,2400,L2,N
6903729,ELA,Smarter Balanced Assessment,RF,,L0,N
3248447,ELA,Smarter Balanced Assessment,TS,2338,L1,N
7813869,ELA,Smarter Balanced Assessment,TS,2594,L3,Y
7591328,ELA,Smarter Balanced Assessment,TS,2498,L2,N
6729796,ELA,Smarter Balanced Assessment,TS,2456,L2,N
7140362,ELA,Smarter Balanced Assessment,TS,2585,L3,Y
7969302,ELA,Smarter Balanced Assessment,RF,,L0,N
3502780,ELA,Smarter Balanced Assessment,TS,2550,L3,Y
3625449,ELA,Smarter Balanced Assessment,TS,2460,L1,N
7657380,ELA,Smarter Balanced Assessment,RF,,L0,N
7400328,ELA,Smarter Balanced Assessment,TS,2627,L3,Y
6362758,ELA,Smarter Balanced Assessment,TS,2455,L1,N
3337782,ELA,Smarter Balanced Assessment,TS,2500,L4,Y
7656195,ELA,Smarter Balanced Assessment,TS,2745,L4,Y
3624449,ELA,Smarter Balanced Assessment,TS,2487,L2,N
